"","modelID","generation","target_precision","target_accuracy","target_recall","target_F1","threshold"
"1","G2-6-long","G2",0.00425257731958763,0.435575660294761,0.785714285714286,0.00845936939246347,0.2
"2","G2-6-long","G2",0.00655430711610487,0.689333138771341,0.666666666666667,0.0129809921186834,0.3
"3","G2-6-long","G2",0.0146031746031746,0.885378666277543,0.547619047619048,0.028447742733457,0.4
"4","G2-6-long","G2",0.0176579925650558,0.921202393112506,0.452380952380952,0.0339892665474061,0.5
"5","G2-6-long","G2",0.0233516483516484,0.946300890121115,0.404761904761905,0.0441558441558442,0.6
"6","G2-6-long","G2",0.0372208436724566,0.969721289946009,0.357142857142857,0.0674157303370786,0.7
